afferent_coupling,avg_method_loc,avg_nesting_depth,blank_lines,bug_severity,cbo,code_smells,cognitive_complexity,comment_lines,comment_ratio,cyclomatic_complexity,defect_type,dit,efferent_coupling,file,halstead_difficulty,halstead_volume,has_comments,has_defect,instability,language,lcom,lines_of_code_actual,loc,maintainability_index,max_method_loc,max_nesting_depth,noc,num_bugs,num_classes,num_fields,num_interfaces,num_methods,num_private_methods,num_public_methods,num_static_methods,project,rfc,technical_debt_hours,total_lines,type,wmc
0,8.5,1.0,8,none,0,0,1.2,15,0.46875,1,none,0,0,core\src\main\java\com\alibaba\druid\mock\MockRowId.java,0,0,True,0,0.0,java,0.0,9,32,100,18,2,0,0,1,2,0,2,0,2,0,druid,0,0.0,40,comprehensive_java_metrics,1
0,4.5,0.5,8,none,0,0,1.2,15,0.45454545454545453,1,none,0,0,core\src\main\java\com\alibaba\druid\mock\MockSavepoint.java,0,0,True,0,0.0,java,0.0,10,33,100,14,2,0,0,1,4,0,4,0,4,0,druid,0,0.0,41,comprehensive_java_metrics,1
0,6.428571428571429,0.2857142857142857,13,none,0,0,1.2,15,0.25,1,none,0,0,core\src\main\java\com\alibaba\druid\mock\MockSQLXML.java,0,0,True,0,0.0,java,0.0,32,60,100,16,2,0,0,1,7,0,7,0,7,0,druid,0,0.0,73,comprehensive_java_metrics,1
0,10.5,0.5,22,none,0,0,10.799999999999999,15,0.19230769230769232,9,none,1,0,core\src\main\java\com\alibaba\druid\mock\MockStatement.java,0,0,True,0,0.0,java,0.0,41,78,100,20,3,0,0,1,6,0,6,0,5,0,druid,0,0.0,100,comprehensive_java_metrics,1
0,6.0,1.0,3,none,0,0,1.2,15,0.7142857142857143,1,none,1,0,core\src\main\java\com\alibaba\druid\mock\MockStatementBase.java,0,0,True,0,0.0,java,0.0,3,21,50.0,16,1,0,0,0,0,1,0,0,0,0,druid,0,0,24,comprehensive_java_metrics,0
0,6.0,0.6666666666666666,6,none,0,0,1.2,15,0.45454545454545453,1,none,0,0,core\src\main\java\com\alibaba\druid\mock\MockStruct.java,0,0,True,0,0.0,java,0.0,12,33,100,16,2,0,0,1,3,0,3,0,3,0,druid,0,0.0,39,comprehensive_java_metrics,1
0,7.0,1.0,4,none,0,0,1.2,15,0.6818181818181818,1,none,1,0,core\src\main\java\com\alibaba\druid\mock\handler\MockExecuteHandler.java,0,0,True,0,0.0,java,0.0,3,22,50.0,17,1,0,0,0,0,1,0,0,0,0,druid,0,0,26,comprehensive_java_metrics,0
0,30.0,1.25,28,none,0,0,25.2,15,0.1111111111111111,21,none,0,0,core\src\main\java\com\alibaba\druid\mock\handler\MySqlMockExecuteHandlerImpl.java,0,0,True,0,0.0,java,0.0,92,135,100,40,5,0,0,1,24,0,4,0,4,0,druid,0,0.0,163,comprehensive_java_metrics,1
2,8.0,2.0,5,none,2,0,1.2,15,0.6521739130434783,1,none,1,2,core\src\main\java\com\alibaba\druid\pool\DataSourceClosedException.java,0,0,True,0,1.0,java,0.0,3,23,100,18,2,0,0,1,1,0,0,0,0,0,druid,0,0.0,28,comprehensive_java_metrics,1
3,14.0,2.0,7,none,3,0,1.2,15,0.5172413793103449,1,none,1,3,core\src\main\java\com\alibaba\druid\pool\DataSourceDisableException.java,0,0,True,0,1.0,java,0.0,7,29,100,24,2,0,0,1,1,0,0,0,0,0,druid,0,0.0,36,comprehensive_java_metrics,1
2,8.0,2.0,5,none,2,0,1.2,15,0.6521739130434783,1,none,1,2,core\src\main\java\com\alibaba\druid\pool\DataSourceNotAvailableException.java,0,0,True,0,1.0,java,0.0,3,23,100,18,2,0,0,1,1,0,0,0,0,0,druid,0,0.0,28,comprehensive_java_metrics,1
0,7.25,0.02734375,434,none,0,2,235.2,99,0.05063938618925831,196,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidAbstractDataSource.java,0,0,True,0,0.0,java,0.0,1422,1955,46.8,17,7,1,0,3,261,0,256,1,244,1,druid,0,10.64,2389,comprehensive_java_metrics,1
0,82.0,1.0,79,none,0,0,1.2,15,0.15463917525773196,1,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidAbstractDataSourceMBean.java,0,0,True,0,0.0,java,0.0,3,97,50.0,92,1,0,0,0,0,1,0,0,0,0,druid,0,0,176,comprehensive_java_metrics,0
0,9.35,0.15,79,none,0,2,46.8,24,0.06030150753768844,39,none,0,0,core\src\main\java\com\alibaba\druid\pool\DruidConnectionHolder.java,0,0,True,0,0.0,java,0.0,295,398,100,19,6,0,0,1,64,0,40,0,36,0,druid,0,0.0,477,comprehensive_java_metrics,1
0,21.43046357615894,0.059602649006622516,634,none,0,2,735.6,115,0.034318113995822144,613,none,2,0,core\src\main\java\com\alibaba\druid\pool\DruidDataSource.java,0,0,True,0,0.0,java,0.0,2602,3351,100,31,9,0,0,6,357,0,151,25,110,1,druid,0,0.0,3985,comprehensive_java_metrics,1
0,3.663265306122449,0.030612244897959183,113,none,0,2,3.5999999999999996,18,0.04774535809018567,3,none,0,0,core\src\main\java\com\alibaba\druid\pool\DruidDataSourceC3P0Adapter.java,0,0,True,0,0.0,java,0.0,246,377,100,13,3,0,0,1,32,0,98,0,98,0,druid,0,0.0,490,comprehensive_java_metrics,1
0,28.0,1.0,27,none,0,0,1.2,16,0.36363636363636365,1,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidDataSourceC3P0AdapterMBean.java,0,0,True,0,0.0,java,0.0,1,44,50.0,38,1,0,0,0,0,1,0,0,0,0,druid,0,0,71,comprehensive_java_metrics,0
0,68.4,1.2,55,none,0,0,67.2,17,0.04735376044568245,56,none,0,0,core\src\main\java\com\alibaba\druid\pool\DruidDataSourceFactory.java,0,0,True,0,0.0,java,0.0,287,359,100,78,6,0,0,2,59,0,5,0,4,3,druid,0,0.0,414,comprehensive_java_metrics,1
0,39.0,1.0,36,none,0,0,1.2,18,0.3157894736842105,1,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidDataSourceMBean.java,0,0,True,0,0.0,java,0.0,3,57,50.0,49,1,0,0,0,0,1,0,0,0,0,druid,0,0,93,comprehensive_java_metrics,0
0,9.0,1.0,7,none,0,0,2.4,23,0.71875,2,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidDataSourceStatLogger.java,0,0,True,0,0.0,java,0.0,2,32,50.0,19,1,0,0,0,0,1,0,0,0,0,druid,0,0,39,comprehensive_java_metrics,0
5,4.25,0.5,8,none,5,0,1.2,19,0.5277777777777778,1,none,0,5,core\src\main\java\com\alibaba\druid\pool\DruidDataSourceStatLoggerAdapter.java,0,0,True,0,0.5555555555555556,java,0.0,9,36,100,14,2,1,0,1,0,0,4,0,4,0,druid,0,0.0,44,comprehensive_java_metrics,1
0,25.142857142857142,0.7142857142857143,52,none,0,0,45.6,22,0.1111111111111111,38,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidDataSourceStatLoggerImpl.java,0,0,True,0,0.0,java,0.0,124,198,100,35,5,0,0,1,8,0,7,0,7,0,druid,0,0.0,250,comprehensive_java_metrics,1
0,4.207920792079208,0.0297029702970297,136,none,0,2,3.5999999999999996,16,0.036281179138321996,3,none,0,0,core\src\main\java\com\alibaba\druid\pool\DruidDataSourceStatValue.java,0,0,True,0,0.0,java,0.0,289,441,100,14,3,0,0,1,105,0,101,0,101,0,druid,0,0.0,577,comprehensive_java_metrics,1
0,8.283185840707965,0.035398230088495575,125,none,0,2,139.2,18,0.018867924528301886,116,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidPooledCallableStatement.java,0,0,True,0,0.0,java,0.0,811,954,100,18,4,0,0,1,9,0,113,1,112,0,druid,0,0.0,1079,comprehensive_java_metrics,1
0,10.824175824175825,0.054945054945054944,274,none,0,2,148.79999999999998,40,0.03902439024390244,124,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidPooledConnection.java,0,0,True,0,0.0,java,0.0,711,1025,100,20,5,0,0,1,115,0,91,3,84,0,druid,0,0.0,1299,comprehensive_java_metrics,1
0,10.810126582278482,0.06329113924050633,204,none,0,2,120.0,20,0.02288329519450801,100,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidPooledPreparedStatement.java,0,0,True,0,0.0,java,0.0,650,874,100,20,5,0,0,2,58,0,79,0,76,0,druid,0,0.0,1078,comprehensive_java_metrics,1
0,8.120418848167539,0.02617801047120419,202,none,0,2,229.2,18,0.011472275334608031,191,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidPooledResultSet.java,0,0,True,0,0.0,java,0.0,1349,1569,82.22,18,5,0,0,1,13,0,191,0,190,0,druid,0,0.8890000000000001,1771,comprehensive_java_metrics,1
0,11.796610169491526,0.0847457627118644,176,none,0,2,114.0,19,0.026573426573426574,95,none,1,0,core\src\main\java\com\alibaba\druid\pool\DruidPooledStatement.java,0,0,True,0,0.0,java,0.0,520,715,100,21,5,0,0,1,65,0,59,0,18,0,druid,0,0.0,891,comprehensive_java_metrics,1
0,4.722222222222222,0.037037037037037035,61,none,0,2,1.2,18,0.06593406593406594,1,none,0,0,core\src\main\java\com\alibaba\druid\pool\DruidStatementConnection.java,0,0,True,0,0.0,java,0.0,194,273,100,14,2,0,0,1,4,0,54,0,54,0,druid,0,0.0,334,comprehensive_java_metrics,1
0,7.0,1.0,4,none,0,0,3.5999999999999996,24,0.7741935483870968,3,none,1,0,core\src\main\java\com\alibaba\druid\pool\ExceptionSorter.java,0,0,True,0,0.0,java,0.0,3,31,50.0,17,1,0,0,0,0,2,0,0,0,0,druid,0,0,35,comprehensive_java_metrics,0
3,11.0,2.0,6,none,3,0,1.2,15,0.5769230769230769,1,none,1,3,core\src\main\java\com\alibaba\druid\pool\GetConnectionTimeoutException.java,0,0,True,0,1.0,java,0.0,5,26,100,21,2,0,0,1,1,0,0,0,0,0,druid,0,0.0,32,comprehensive_java_metrics,1
0,8.0,1.5,4,none,0,0,3.5999999999999996,22,0.5789473684210527,3,none,0,0,core\src\main\java\com\alibaba\druid\pool\JDBC4ValidConnectionChecker.java,0,0,True,0,0.0,java,0.0,12,38,100,18,3,0,0,1,1,0,2,0,2,0,druid,0,0.0,42,comprehensive_java_metrics,1
0,9.0,1.0,6,none,0,0,1.2,15,0.625,1,none,1,0,core\src\main\java\com\alibaba\druid\pool\ManagedDataSource.java,0,0,True,0,0.0,java,0.0,3,24,50.0,19,1,0,0,0,0,1,0,0,0,0,druid,0,0,30,comprehensive_java_metrics,0
0,65.0,4.0,20,none,0,0,20.4,20,0.23529411764705882,17,none,0,0,core\src\main\java\com\alibaba\druid\pool\PoolableWrapper.java,0,0,True,0,0.0,java,0.0,45,85,100,75,4,0,0,1,10,0,1,0,1,0,druid,0,0.0,105,comprehensive_java_metrics,1
