project,file,language,dataset_type,type,loc,comment_lines,blank_lines,total_lines,lines_of_code_actual,cyclomatic_complexity,max_nesting_depth,avg_nesting_depth,cognitive_complexity,wmc,dit,noc,cbo,rfc,lcom,num_classes,num_interfaces,num_methods,num_fields,num_public_methods,num_private_methods,num_static_methods,comment_ratio,has_comments,avg_method_loc,max_method_loc,maintainability_index,has_defect,defect_type,num_bugs,bug_severity,afferent_coupling,efferent_coupling,instability,halstead_volume,halstead_difficulty,technical_debt_hours,code_smells,defects
MultiDataSourceConfigurer,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\demo\configurer,java,promise,comprehensive_java_metrics,23,0,5,28,18,1,2,1.0,1.2,2,1,0,1,2,0.0,1,0,2,0,2,0,0,0.0,False,11.5,21,50.0,0,none,0,none,1,1,0.3333333333333333,0,0,0,0,0
UserDao,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\demo\dao,java,promise,comprehensive_java_metrics,4,0,3,7,1,1,0,0.0,1.2,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0.0,False,4.0,14,50.0,0,none,0,none,0,0,0.0,0,0,0,0,0
User,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\demo\model,java,promise,comprehensive_java_metrics,36,0,10,46,26,1,3,0.6,1.2,5,1,0,1,5,0.0,1,0,5,4,5,0,0,0.0,False,7.2,17,50.0,0,none,0,none,1,1,0.16666666666666666,0,0,0,0,0
UserService,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\demo\service,java,promise,comprehensive_java_metrics,5,0,3,8,2,1,1,1.0,1.2,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0.0,False,5.0,15,50.0,0,none,0,none,0,0,0.0,0,0,0,0,0
UserServiceImpl,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\demo\service,java,promise,comprehensive_java_metrics,19,0,7,26,12,1,3,3.0,1.2,1,1,0,1,1,0.0,1,0,1,3,1,0,0,0.0,False,19.0,29,50.0,0,none,0,none,1,1,0.5,0,0,0,0,0
DruidStatController,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\demo\web,java,promise,comprehensive_java_metrics,12,1,3,15,8,1,2,2.0,1.2,1,1,0,1,1,0.0,1,0,1,0,1,0,0,0.08333333333333333,True,11.0,21,50.0,0,none,0,none,1,1,0.5,0,0,0,0,0
UserController,d:\GitIntel\druid\druid-spring-boot-starter\src\test\java\com\alibaba\druid\spring\boot\demo\web,java,promise,comprehensive_java_metrics,16,0,4,20,12,1,2,2.0,1.2,1,1,0,1,1,0.0,1,0,1,1,1,0,0,0.0,False,16.0,26,50.0,0,none,0,none,1,1,0.5,0,0,0,0,0
DruidDataSourceAutoConfigure,d:\GitIntel\druid\druid-spring-boot-starter\src\main\java\com\alibaba\druid\spring\boot\autoconfigure,java,promise,comprehensive_java_metrics,67,25,5,72,37,1,2,2.0,1.2,1,1,0,1,1,0.0,1,0,1,1,1,0,0,0.373134328358209,True,42.0,52,50.0,0,none,0,none,1,1,0.5,0,0,0,0,0
DruidDataSourceBuilder,d:\GitIntel\druid\druid-spring-boot-starter\src\main\java\com\alibaba\druid\spring\boot\autoconfigure,java,promise,comprehensive_java_metrics,58,34,5,63,19,1,2,0.6666666666666666,1.2,3,1,0,1,3,0.0,1,0,3,2,3,0,1,0.5862068965517241,True,8.0,18,50.0,0,none,0,none,1,1,0.25,0,0,0,0,0
DruidDataSourceWrapper,d:\GitIntel\druid\druid-spring-boot-starter\src\main\java\com\alibaba\druid\spring\boot\autoconfigure,java,promise,comprehensive_java_metrics,68,27,8,76,33,8,3,1.0,9.6,3,1,0,1,3,0.0,1,0,3,1,3,0,0,0.39705882352941174,True,13.666666666666666,23,50.0,0,none,0,none,1,1,0.25,0,0,0,0,0
